"id","submitdate","lastpage","startlanguage","seed","DT01[SQ001]","DT01[SQ011]","DT01[SQ002]","DT01[SQ005]","DT01[SQ004]","DT01[SQ003]","DT01[SQ006]","DT01[SQ007]","DT01[SQ008]","DT01[SQ009]","DT01[SQ010]","DT01[other]","DT06[SQ001]","DT06[SQ002]","DT06[SQ003]","DT06[SQ004]","DT06[other]","DT02[SQ001]","DT02[SQ002]","DT02[SQ003]","DT02[SQ006]","DT02[SQ005]","DT02[other]","DT03","DT03[other]","DT04a","DT04b","DT05a","DT05b","DQ01","DQ02","DQ03[SQ001]","DQ03[SQ002]","DQ04","DHRP01","DHRP02[SQ001]","DHRP02[SQ002]","DHRP02[SQ003]","DHRP02[SQ004]","DHRP07[SQ001]","DHRP07[SQ001comment]","DHRP07[SQ002]","DHRP07[SQ002comment]","DHRP07[SQ003]","DHRP07[SQ003comment]","DHRP07[SQ004]","DHRP07[SQ004comment]","DHRP07[SQ005]","DHRP07[SQ005comment]","DHRP07[SQ006]","DHRP07[SQ006comment]","DHRP07[other]","DHRP07[othercomment]","DHRP06[SQ001]","DHRP06[SQ002]","DHRP06[SQ003]","DHRP06[SQ004]","DHRP05[SQ001]","DHRP05[SQ002]","DHRP05[SQ003]","DHRP05[SQ004]","DHRP03a[SQ001]","DHRP03a[SQ002]","DHRP03a[SQ003]","DHRP03b[SQ001]","DHRP03b[SQ002]","DHRP03b[SQ003]","DHRP03c[SQ001]","DHRP03c[SQ002]","DHRP03c[SQ003]","DHRP04[SQ001]","DHRP04[SQ002]","DHRP04[SQ003]","DHRP04[SQ004]","ORDM01","ORDM02[SQ001]","ORDM02[SQ002]","ORDM02[SQ003]","ORDM02[SQ016]","ORDM02[SQ004]","ORDM02[SQ005]","ORDM02[SQ006]","ORDM02[SQ007]","ORDM02[SQ008]","ORDM02[SQ009]","ORDM02[SQ010]","ORDM02[SQ011]","ORDM02[SQ012]","ORDM02[SQ013]","ORDM02[SQ014]","ORDM02[SQ015]","ORDM03","D03","D03[other]","D06","D02[SQ001]","D02[SQ002]","D02[SQ008]","D02[SQ003]","D02[SQ004]","D02[SQ005]","D02[SQ006]","D02[SQ007]","D02[other]"
"73","1980-01-01 00:00:00","5","de","349093168","No","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","","Yes","Yes","No","No","","Yes","Yes","Yes","No","Yes","","Do not know/Cannot answer","","No","","No","","Up to 99 MB","0 - 99 GB","< 10 GB","< 10 GB","5-9 people","","","","","","No","","No","","No","","No","","Yes","","No","","","","Don't know/Cannot answer","Tend to agree","Tend to agree","Tend to agree","Always, or almost always","Never, or almost never","Never, or almost never","Rarely","","","","Never, or almost never","Never, or almost never","Never, or almost never","","","","Always, or almost always","Always, or almost always","Never, or almost never","Never, or almost never","To some extent","To a large extent","To a large extent","To little or no extent at all","To some extent","To a very large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To some extent","To little or no extent at all","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Electrical and Information Engineering","No","No","No","No","No","No","Yes","No",""
"74","1980-01-01 00:00:00","5","en","1963408369","No","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","","No","No","No","Yes","","No","Yes","Yes","Yes","No","","Open source formats exclusively","","No","","No","","10 GB - 99 GB","100 GB - 499 GB","100 GB - 999 GB","100 GB - 999 GB","5-9 people","1-5","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","No","","Yes","","No","","No","","No","","No","","","","Completely agree","Tend to disagree","Tend to agree","Completely agree","Sometimes","Always, or almost always","Sometimes","Never, or almost never","GitHub","","","Do not know/cannot answer","Do not know/cannot answer","Most of the time","Rarely","Rarely","Always, or almost always","Most of the time","Always, or almost always","Do not know/cannot answer","Never, or almost never","To little or no extent at all","Do not know/cannot answer","To some extent","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To a very large extent","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To a very large extent","Do not know/cannot answer","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Computer Science and Biomedical Engineering","No","No","No","No","No","Yes","Yes","Yes",""
"77","1980-01-01 00:00:00","5","de","603276123","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","","Yes","Yes","No","No","","No","No","Yes","No","No","","Proprietary and open source formats","","No","","No","","1 GB - 9 GB","500 GB - 900 GB","10 GB - 99 GB","","10-19 people","1-5","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","Yes","Bezieht sich auf Daten","No","","Yes","Bezieht sich auf Code","No","","No","","","","Completely agree","Don't know/Cannot answer","Tend to agree","Completely agree","Rarely","Sometimes","Never, or almost never","Never, or almost never","Github","","","Never, or almost never","Never, or almost never","Sometimes","Most of the time","","Sometimes","Most of the time","Never, or almost never","Never, or almost never","Never, or almost never","To some extent","To some extent","To a large extent","To some extent","To some extent","To some extent","To some extent","To some extent","To some extent","To little or no extent at all","To some extent","To little or no extent at all","Do not know/cannot answer","To some extent","To some extent","To some extent","To some extent","","Doctorate/PhD","","Mathematics, Physics, and Geodesy","No","No","No","No","Yes","No","No","No",""
"78","1980-01-01 00:00:00","5","de","1554251859","No","No","Yes","No","No","No","No","No","Yes","No","Yes","","No","Yes","Yes","No","","No","Yes","Yes","Yes","No","","Open source formats exclusively","","No","","No","","1 GB - 9 GB","0 - 99 GB","< 10 GB","","5-9 people","1-5","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","Yes","...meist werden aber keine Daten generiert","No","","No","","No","","No","","No","","","","Completely agree","Tend to disagree","Tend to agree","Completely agree","Never, or almost never","Rarely","Rarely","Sometimes","github","bitbucket","google drive","Never, or almost never","Never, or almost never","Rarely","Sometimes","Always, or almost always","Rarely","Sometimes","Rarely","Rarely","Rarely","To a large extent","To some extent","To some extent","Do not know/cannot answer","To some extent","To a large extent","To little or no extent at all","To some extent","To a large extent","Do not know/cannot answer","To a very large extent","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To a large extent","To a large extent","","Doctorate/PhD","","Mathematics, Physics, and Geodesy","Yes","No","No","No","No","No","No","No",""
"79","1980-01-01 00:00:00","5","de","115196367","No","No","Yes","Yes","Yes","No","No","No","No","No","No","","Yes","No","No","No","","No","No","Yes","No","Yes","","Predominantly open source formats","","Yes","","No","","1 GB - 9 GB","0 - 99 GB","100 GB - 999 GB","1 TB - 10 TB","Fewer than 5 people","1-5","Sometimes","Always, or almost always","Never, or almost never","Never, or almost never","No","","Yes","teilweise Weitergabe von entwickelten Codes samt Datengrundlage","No","","No","","No","","No","","","","Tend to disagree","Don't know/Cannot answer","Tend to agree","Completely agree","Most of the time","Sometimes","Rarely","Never, or almost never","insitutsinterne Datenbanken","git.tugraz.at","GitLab","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Most of the time","Most of the time","Most of the time","Never, or almost never","To a large extent","To a large extent","To a large extent","To a large extent","To a large extent","To a large extent","To some extent","To little or no extent at all","To some extent","To some extent","To a large extent","To some extent","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To little or no extent at all","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Civil Engineering Sciences","No","No","No","No","No","No","Yes","No",""
"82","1980-01-01 00:00:00","5","de","1600436169","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","","Yes","Yes","No","No","Yes","","Predominantly proprietary formats","","Yes","Forschungsdaten aus Industrieprojekten","Yes","Biologische Proben","1 GB - 9 GB","0 - 99 GB","< 10 GB","10 GB - 99 GB","10-19 people","11-20","Most of the time","Always, or almost always","Sometimes","Rarely","No","","Yes","Industriepartner","Yes","Bei Anträgen","Yes","an Industriepartner","No","","No","","","","Don't know/Cannot answer","Tend to agree","Completely disagree","Tend to agree","Most of the time","Do not know/cannot answer","Most of the time","Never, or almost never","","","","Rarely","Most of the time","Never, or almost never","","","","Always, or almost always","Most of the time","Sometimes","Never, or almost never","To some extent","To a large extent","To a large extent","Do not know/cannot answer","To some extent","To a large extent","To a large extent","To a large extent","To a very large extent","Do not know/cannot answer","Do not know/cannot answer","To a large extent","To a large extent","To a very large extent","To some extent","To some extent","To a large extent","","Doctorate/PhD","","Technical Chemistry, Chemical and Process Engineering, Biotechnology","No","Yes","No","No","No","No","No","No",""
"83","1980-01-01 00:00:00","5","de","1457630024","No","No","Yes","Yes","No","No","No","No","No","No","No","","Yes","Yes","Yes","No","","No","No","No","Yes","No","","Proprietary and open source formats","","No","","No","","100 MB - 999 MB","0 - 99 GB","< 10 GB","< 10 GB","5-9 people",">20","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","Yes","","No","","No","","No","","No","","No","","","","Completely disagree","Tend to agree","Tend to agree","Completely agree","Never, or almost never","Always, or almost always","Most of the time","Never, or almost never","github","","","Never, or almost never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To a large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","","Bachelor's Degree","","Computer Science and Biomedical Engineering","Yes","No","No","No","No","Yes","No","No",""
"84","1980-01-01 00:00:00","5","de","210555167","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","No","No","","No","Yes","Yes","Yes","Yes","","Predominantly proprietary formats","","No","","Yes","Material","10 GB - 99 GB","500 GB - 900 GB","100 GB - 999 GB","100 GB - 999 GB","10-19 people","1-5","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","Yes","","No","","Yes","","No","","No","","","","Tend to agree","Tend to disagree","Tend to agree","Completely agree","Sometimes","Sometimes","Most of the time","Rarely","","","","Rarely","Rarely","Sometimes","Most of the time","Most of the time","Rarely","Rarely","Always, or almost always","Sometimes","Sometimes","To little or no extent at all","To little or no extent at all","To a large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To a large extent","To some extent","To a very large extent","To some extent","To some extent","To some extent","To some extent","To a very large extent","To a large extent","To a large extent","To some extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Civil Engineering Sciences","No","No","No","No","No","No","Yes","No",""
"86","1980-01-01 00:00:00","5","de","631505481","No","No","No","No","No","No","No","No","No","No","Yes","","No","No","No","Yes","","No","No","Yes","No","No","","Open source formats exclusively","","No","","No","","< 1 MB","0 - 99 GB","< 10 GB","< 10 GB","Fewer than 5 people","6-10","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","Yes","","No","","No","","No","","No","","No","","","","Tend to agree","Completely disagree","Tend to agree","Tend to agree","Never, or almost never","Sometimes","Rarely","Never, or almost never","","","","Never, or almost never","Never, or almost never","Sometimes","Most of the time","Never, or almost never","Sometimes","Always, or almost always","Never, or almost never","Never, or almost never","Never, or almost never","To little or no extent at all","Do not know/cannot answer","To some extent","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","","Doctorate/PhD","","Mathematics, Physics, and Geodesy","Yes","No","No","No","No","No","No","No",""
"88","1980-01-01 00:00:00","5","de","991400175","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","","No","Yes","Yes","No","","No","No","Yes","No","No","","Open source formats exclusively","","No","","No","","> 500 GB","> 5 TB","10 TB - 100 TB","1 TB - 10 TB","5-9 people","6-10","Always, or almost always","Never, or almost never","Always, or almost always","Never, or almost never","Yes","","No","","No","","No","","No","","No","","","","Tend to agree","Completely agree","Completely disagree","Completely agree","Most of the time","Sometimes","Rarely","Always, or almost always","ICGEM (http://icgem.gfz-potsdam.de/home)","PANGAEA (https://www.pangaea.de/)","GitHub","Sometimes","Rarely","Always, or almost always","Sometimes","","Always, or almost always","Never, or almost never","Always, or almost always","Never, or almost never","Never, or almost never","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To some extent","","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Mathematics, Physics, and Geodesy","No","No","No","No","No","No","Yes","No",""
"92","1980-01-01 00:00:00","5","en","1637551810","No","No","Yes","Yes","No","No","No","No","Yes","No","Yes","","No","No","No","Yes","","No","No","Yes","Yes","No","","Open source formats exclusively","","No","","No","","Up to 99 MB","0 - 99 GB","< 10 GB","< 10 GB","5-9 people","1-5","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","Yes","","No","","No","","No","","No","","No","","","","Completely agree","Tend to agree","Tend to disagree","Completely agree","Sometimes","Always, or almost always","Rarely","Never, or almost never","arXiv","GitHub","Bitbucket","Never, or almost never","Never, or almost never","Sometimes","Sometimes","Never, or almost never","Most of the time","Always, or almost always","Never, or almost never","Sometimes","Always, or almost always","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","To little or no extent at all","","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","To little or no extent at all","","Doctorate/PhD","","Mathematics, Physics, and Geodesy","No","No","No","No","Yes","No","No","No",""
